,name,keyword,additional_regex,category,subcategory,location,year,funding,website,summary
987,Abridge,abridge,,Applications - Industry,Healthcare,United States,2018,$27.5M,https://www.abridge.com/,"Abridge develops a fully integrated suite of AI-backed products for healthcare conversations. The company helps with everything downstream of a conversation, whether it is audio capture, transcription, summarization, EHR integration, or risk management. Its standalone and integrated solutions enable better care delivery experiences for clinicians, patients, hospitals systems, payers, telehealth companies, care management & coordination organizations, and more. Abridge was founded in 2018 and is based in Pittsburgh, Pennsylvania."
255,Acceldata,acceldata,,Infrastructure,Data Quality & Observability,United States,2018,$95.56M,https://www.acceldata.io/,"Acceldata provides a big data APM (Application performance management) solution assisting enterprises to optimize data lake operations, predicting failures, and troubleshooting. It provides insights into application performance, detects anomalies and alerts which can be used by data engineers, architects, and cluster operators. Acceldata analyzes performance bottlenecks and generates recommendations for remediation. The company was founded in 2018 and is based in San Jose, California."
1156,Accumulo,accumulo,,Open Source Infrastructure,Databases,,,,https://github.com/apache/accumulo,"Apache Accumulo
"
219,Acryl Data,acryl data,,Infrastructure,Data Governance & Catalog,United States,2020,$9M,https://www.acryldata.io/,"Acryl Data’s vision is to empower data teams with extreme productivity, using trusted, compliant data through a metadata platform.
"
19,Actian,actian,,Infrastructure,MPP DBs,United States,,,https://www.actian.com/,"Actian is a computer software company that enables organizations to transform big data into business value with data management solutions to transact, connect, analyze and act on data. Actian helps customers worldwide take action on their big data with Vectorwise analytics database, RushAnalytics Hadoop accelerator, DataCloud for cloud and on-premises data integration, Action Apps, as well as Ingres, Versant and PSQL transactional mission-critical databases.
"
383,ActionIQ,actioniq,,Analytics,Customer Data Platforms,United States,2014,$145M,https://www.actioniq.com/,"ActionIQ is an enterprise customer data platform that aims to solve the problems marketers face including the flow and scale of data, analytics, and campaigns.
"
720,Active Campaign,active campaign,,Applications - Enterprise,Marketing,United States,2003,$360M,https://www.activecampaign.com/,"ActiveCampaign helps businesses grow by strengthening their relationships with customers through utilizing a blend of automation and human touch. Companies are able to automate many behind-the-scene processes and communicate with customers across channels with personalized, intelligence-driven messages.
"
1352,Acxiom,acxiom,,Data Sources & APIs,People/Entities,United States,1969,,https://www.acxiom.com/,"Acxiom is a technology firm that uses data and technology to transform marketing, providing its clients with the power to manage audiences, personalize customer experiences, and create profitable customer relationships.
"
750,Ada,ada,,Applications - Enterprise,Customer Experience,Canada,2016,$190.73M,https://www.ada.cx/,"Ada offers an automated platform that integrates artificial intelligence and enables enterprise businesses around the world to automate customer service that saves time, reduces cost, and strengthens their support. It also offers different chatbots as per the need of the business. The company was founded in 2016 and is based in Toronto, Canada."
724,Adcreative,adcreative,,Applications - Enterprise,Marketing,France,2021,,https://www.adcreative.ai/,"AdCreative.ai is an AI-powered ad creation tool. Its platform generates social posts, text and headlines, and more. It serves e-commerce stores, startups, and marketing agencies. It was founded in 2021 and is based in Paris, France."
1378,Addepto,addepto,,Data & AI Consulting,Data & AI Consulting,Poland,2018,,https://addepto.com/,"Addepto is a machine learning and business intelligence consulting company developing custom solutions for fast-growing companies. On July 13th, 2021, Addepto was acquired by Grape Up. Terms of the transaction were not disclosed."
608,Adept,adept,,Machine Learning & Artificial Intelligence,Horizontal AI/AGI,United States,2021,$65M,https://www.adept.ai/,"Adept is an ML research and product lab building general intelligence by enabling humans and computers to work together creatively. The company was founded in 2021 and is based in San Francisco, California."
384,Adobe Real-Time CDP,adobe real-time cdp,,Analytics,Customer Data Platforms,,,,https://business.adobe.com/products/real-time-customer-data-platform/RTCDP,"
"
261,Adverity,adverity,,Infrastructure,Fully Managed,Austria,2014,$167.7M,https://www.adverity.com/,"Adverity offers a marketing and ETL platform that can connect and manage data sources, create data stack with data normalization, and calculate and clean up functionalities.
"
785,Aera Technology,aera technology,,Applications - Enterprise,Decision & Optimization,United States,2005,$168.23M,https://www.aeratechnology.com/,"Aera delivers technology that enables the Self-Driving Enterprise: a cognitive operating system that connects customers with their business and autonomously orchestrates their operations.
"
95,Aerospike,aerospike,,Infrastructure,NoSQL Databases,United States,2009,$52M,https://aerospike.com/,"Aerospike specializes in real-time NoSQL data solutions for any scale. Aerospike enterprises overcome seemingly impossible data bottlenecks to compete and win with a fraction of the infrastructure complexity and cost of legacy NoSQL databases. Aerospike empowers customers to instantly fight fraud; dramatically increase shopping cart size; deploy global digital payment networks; and deliver instant, one-to-one personalization for millions of customers.
"
731,Afiniti,afiniti,,Applications - Enterprise,Customer Experience,Bermuda,2006,$327.2M,https://www.afiniti.com/,"Afiniti is a multinational applied artificial intelligence company. Afiniti uses AI to identify and predict subtle, valuable patterns of human behavior to better pair customers and employees. Pairing in this way results in higher quality interpersonal interactions and drives measurable increases in revenue and customer lifetime value for enterprises.
"
881,Aflorithmic,aflorithmic,,Applications - Horizontal,Audio & Voice,United Kingdom,2019,$1.3M,https://www.aflorithmic.ai/,"Aflorithmic enables fully automated, scalable audio production by using synthetic media, voice cloning, and audio mastering, to then deliver it on any device, such as websites, mobile apps or smart speakers.
"
1082,Agile Robots,agile robots,,Applications - Industry,Industrial & Logistics,Germany,2018,$380M,https://www.agile-robots.com/,"Agile Robots researches and develops an intelligent robot system. The core products include a 7-degree-of-freedom lightweight arm, a general-purpose robot controller, and a robot vision system. The company has developed a robotic operating system based on core technologies such as force-controlled robotics, machine vision, motion planning, adaptive crawling, human-machine collaboration, simulation learning, and reinforcement learning. Agile Robots was founded in 2018 and is based in Munich, Germany."
435,Ahana,ahana,,Analytics,Query Engine,United States,2020,$31.75M,https://ahana.io/,"Ahana offers a managed service platform for Presto on AWS with the vision to simplify open data lake analytics. Ahana is used by tech companies in various industries. The company was founded in 2020 and is based in San Mateo, California."
618,AI Foundation,ai foundation,,Machine Learning & Artificial Intelligence,Horizontal AI/AGI,United States,2017,$27M,https://aifoundation.com/,"AI Foundation aims to democratize and decentralize artificial intelligence. Its first product called Reality Defender, combines human moderation and machine learning to identify malicious content meant to deceive people such as deepfakes.
"
548,AI Squared,ai squared,,Machine Learning & Artificial Intelligence,MLOps,United States,2021,$6M,https://squared.ai/,"AI Squared offers a low-code platform designed to help companies adopt artificial intelligence and integrate it into existing applications in a timely and straightforward manner. The platform is used by data science, business, and IT teams. The company was founded in 2021 and is based in Washington, DC."
676,AI21 Labs Jurassic,ai21 labs jurassic,,Machine Learning & Artificial Intelligence,Closed Source Models,Israel,2017,$118.5M,https://www.ai21.com/blog/announcing-ai21-studio-and-jurassic-1,"AI21 Labs builds AI systems with the capacity to understand and generate natural language. Its product, Wordtune, provides solutions for grammar and spelling fixes. It helps to write accurately. The company designs advanced artificial intelligence tools and language models that understand the context and semantics of written text. The company was founded in 2017 and is based in Tel Aviv-Yafo, Israel."
639,AI21Labs,ai21labs,,Machine Learning & Artificial Intelligence,Horizontal AI/AGI,Israel,2017,$118.5M,https://www.ai21.com/,"AI21 Labs builds AI systems with the capacity to understand and generate natural language. Its product, Wordtune, provides solutions for grammar and spelling fixes. It helps to write accurately. The company designs advanced artificial intelligence tools and language models that understand the context and semantics of written text. The company was founded in 2017 and is based in Tel Aviv-Yafo, Israel."
838,AI2sql,ai2sql,,Applications - Horizontal,Code & Documentation,United States,,,https://www.ai2sql.io/,"AI2sql offers an AI-powered SQL query builder that enables users to build SQL queries without any knowledge of SQL for beginners. Users enter a few keywords about their data and the platform automatically builds an optimized SQL query for the data. The company is based in Jacksonville, Florida."
491,Aible,aible,,Machine Learning & Artificial Intelligence,Enterprise ML Platforms,United States,2018,$26.93M,https://www.aible.com/,"Aible has developed an AI software that offers services including data cleansing, feature creation, model training, data scoring, model deployment and quantifying impact to help business users.
"
968,AiCure,aicure,,Applications - Industry,Healthcare,United States,2010,$60.34M,https://aicure.com/,"AiCure is an AI and advanced data analytics company targeting the health care industry. AiCure uses AI to see, hear and understand how people respond to treatment across clinical trials and patient care. Clinically proven to accurately measure and modify patient behavior, AiCure’s technologies keep patients engaged and optimized to treatment, as well as assess treatment effectiveness.
"
991,Aidoc,aidoc,,Applications - Industry,Healthcare,Israel,2016,$233.6M,https://www.aidoc.com/,"Aidoc finds and flags critical findings in medical images. By automatically prioritizing urgent, life-threatening conditions like intracranial hemorrhage and pulmonary embolism, Aidoc saves lives, improves patient care and cuts waiting time for the must urgent patients down to only a few minutes. The always-on AI integrates into a radiologist's workflow, reprioritizing cases without forcing radiologists to change the way they work. Aidoc was founded in 2016 and is based in Tel Aviv, Israel."
875,Aimi,aimi,,Applications - Horizontal,Audio & Voice,United States,2018,$20M,https://www.aimi.fm/,"AiMi is an app that delivers a dynamic, uninterrupted, and an endless flow of music powered by AI and personalized for the user.
"
165,Airbyte,airbyte,,Infrastructure,ETL/ELT/Data Transformation,United States,2020,,https://airbyte.com/,"Airbyte is an open-source data integration platform that syncs data from applications, APIs, and databases to data warehouses, lakes, and other destinations. The company was founded in 2020 and is based in San Francisco, California."
782,AirSlate,airslate,,Applications - Enterprise,Automation & Operations,United States,2006,$171.5M,https://www.airslate.com/,"airSlate is a global SaaS technology company that serves users worldwide with its no-code business process automation and document management solutions. The company's PDF editing, e-signature workflow, and business process automation solutions empower users to digitally transform their businesses to run faster and easier. airSlate, pdfFiller, signNow, and USLegal make up the company's portfolio of products. airSlate's customers span various industries, such as insurance, healthcare, finance, sports, and more. airSlate was founded in 2006 and is based in Brookline, Massachusetts."
361,Airtable,airtable,,Analytics,Data Analyst Platforms,United States,2013,$1352.6M,https://www.airtable.com/,"Airtable enables teams to create apps on top of shared data to power workflows. Users can bring their data together using integrations, extensible APIs, custom scripting and more. The company provides solutions to organizational departments within Marketing, Product Operations, Human Resources, Sales, Operations, Content Operations, FInance and more. It was founded in 2013 and is based in San Francisco, California."
867,Aiva,aiva,,Applications - Horizontal,Audio & Voice,France,2016,$2.52M,https://www.aiva.ai/,"Aiva Technologies offers AI solutions capable of composing emotional music. Aiva has learned the art of music composition by reading through a large collection of music partitions, written by the greatest composers in order to create a mathematical model representation of what music is.
"
58,Aiven,aiven,,Infrastructure,Streaming/In-Memory,Finland,2016,$419.93M,https://aiven.io/,"Aiven offers a managed cloud service that hosts software infrastructure services. It provides managed open-source data technologies, like PostgreSQL, Kafka, and OpenSearch, on all major clouds, allowing developers to create applications. The company was founded in 2016 and is based in Helsinki, Finland."
966,Akasa,akasa,,Applications - Industry,Healthcare,United States,2018,$85M,https://akasa.com/,"AKASA uses machine learning to provide health systems with a single solution for automating revenue cycle operations. AKASA’s expert-in-the-loop approach, Unified Automation, combines machine-learning with human judgment and subject matter expertise to provide robust and resilient automation. Unified Automation adapts to the highly dynamic nature of revenue cycle operations and is purpose-built for healthcare.
"
231,Akuity,akuity,,Infrastructure,Infrastructure - Orchestration,United States,2021,$24.5M,https://akuity.io/,"Akuity provides solutions that empower DevOps engineers to deliver applications more simply, more safely, and faster. It is powered by Argo, the open-source suite of Kubernetes-native application delivery software. The company was founded in 2021 and is based in Sunnyvale, California."
205,Alation,alation,,Infrastructure,Data Governance & Catalog,United States,2012,$315M,https://www.alation.com/,"Alation is a company that specializes in enterprise data intelligence solutions, including data search & discovery, data governance, data stewardship, analytics, and digital transformation. With its Behavioral Analysis Engine, inbuilt collaboration capabilities, and open interfaces, Alation combines machine learning with human insight to tackle demanding challenges in data and metadata management. Alation serves enterprises across a wide range of industries. It was founded in 2012 and is based in Redwood City, California."
501,Alegion,alegion,,Machine Learning & Artificial Intelligence,Data Generation & Labelling,United States,2012,$32.38M,https://www.alegion.com/,"Alegion is a data labeling solution for enterprise-grade Machine Learning. The company's services include streaming, high-resolution, high-density video annotation, and delivering accurately-annotated, model-ready data to train and validate ML models. Alegion provides both the platform and workforce to operate with quality at scale, processing structured and unstructured data including video, image, audio, and text. The platform supports complex use cases, powered by robust ontologies and entity relationships. Alegion was founded in 2012 and is based in Austin, Texas."
615,Aleph Alpha,aleph alpha,,Machine Learning & Artificial Intelligence,Horizontal AI/AGI,Germany,2019,,https://www.aleph-alpha.com/,"Aleph Alpha is an AI research and application company. It researches, develops, and operationalizes large-scale AI models for language, image data, and strategy and contributes to securing digital sovereignty. It was founded in 2019 and is based in Heidelberg, Germany."
444,Algolia,algolia,,Analytics,Enterprise Search,United States,2012,$334.34M,https://www.algolia.com/,"Algolia provides a search engine as a service for enterprise search headless e-commerce mobile and app search, and voice search. It offers products such as algolia Search for relevant search and discovery and algolia Recommend for recommended searches. It caters its solution to e-commerce, B2B e-commerce marketplaces, media, and SaaS Industries. Algolia products integrate with Salesforce, Netlify, Shopify and more. The company was founded in 2012 and is based in San Francisco, California."
778,Alkymi,alkymi,,Applications - Enterprise,Automation & Operations,United States,2017,$26M,https://www.alkymi.io/,"Alkymi transforms enterprise workflows by placing machine learning and automation technology into the hands of business users, turning operational data headaches into a source of efficiency. Alkymi’s core products, Data Inbox and Patterns, allow businesses to extract, analyze, and take action on critical business data in emails and documents. Organizations deploy Alkymi to accelerate decision-making, improve customer satisfaction, and empower employees to focus on higher value work. Alkymi was founded in 2017 and is based in New York, New York."
634,Allen Institute,allen institute,,Machine Learning & Artificial Intelligence,Horizontal AI/AGI,United States,,,https://allenai.org/,"Allen Institute for Artificial Intelligence (AI2) with the singular focus of conducting high-impact research and engineering in the field of artificial intelligence for the common good. AI2 is the creation of Paul Allen, Microsoft co-founder, and is led by Dr. Oren Etzioni, a world-renowned researcher and professor in the field of AI and computer science. In response to the COVID-19 pandemic, the Allen Institute for AI has partnered with leading research groups to prepare and distribute the COVID-19 Open Research Dataset (CORD-19), a free resource of over 44,000 scholarly articles, including over 29,000 with full text, about COVID-19 and the coronavirus family of viruses for use by the global research community."
430,Allium,allium,,Analytics,Crypto & Web 3 Analytics,United States,2022,$4.25M,https://www.allium.so/,"Allium provides on-chain data infrastructure products ranging from managed blockchain databases, and enriched data schemas, to real-time alerting capabilities. The company primarily serves crypto analytics teams. The company was founded in 2022 and is based in New York, New York."
5,Alluxio,alluxio,,Infrastructure,Storage,United States,2015,$73.68M,https://www.alluxio.io/,"Alluxio is a memory-centric distributed storage system enabling reliable data sharing at memory-speed across cluster frameworks. Alluxio leverages lineage information and using memory aggressively. Tachyon caches working set files in memory, thereby avoiding disk to load datasets that are frequently read. This enables different jobs/queries and frameworks to access cached files at memory speed.
"
904,Alpaca,alpaca,,Applications - Horizontal,Image,United States,,,https://www.getalpaca.io/,"alpaca is a photoshop plugin that combines AI image generation power with human skill. The company is based in California, United States.
"
455,Alphasense,alphasense,,Analytics,Enterprise Search,United States,2011,$497.36M,https://www.alpha-sense.com/,"AlphaSense develops a market intelligence platform. The company's AI-based technology helps professionals make smarter business decisions by delivering insights from an extensive universe of public and private content, including company filings, event transcripts, expert call transcripts, news, trade journals, and equity research. AlphaSense was founded in 2011 and is headquartered in New York, New York."
947,AlphaSense,alphasense,,Applications - Industry,Finance & Insurance,United States,2011,$497.36M,https://www.alpha-sense.com/,"AlphaSense develops a market intelligence platform. The company's AI-based technology helps professionals make smarter business decisions by delivering insights from an extensive universe of public and private content, including company filings, event transcripts, expert call transcripts, news, trade journals, and equity research. AlphaSense was founded in 2011 and is headquartered in New York, New York."
469,Altair,altair,,Machine Learning & Artificial Intelligence,Data Science Platforms,United States,1985,$35.05M,https://www.altair.com/,"Altair empowers client development and decision-making through technology that optimizes the analysis, management, and visualization of business and engineering information. The company was founded in 1985 and is based in Troy, Michigan."
172,Alteryx,alteryx,,Infrastructure,ETL/ELT/Data Transformation,United States,2010,$163M,https://www.alteryx.com/,"Alteryx (NYSE: AYX) serves the self-service data analytics movement with a platform that can discover, prep, and analyze data, then deploy and share analytics at scale for deeper insights. The company was founded in 2010 and is based in Irvine, California."
378,Alteryx,alteryx,,Analytics,Data Analyst Platforms,United States,2010,$163M,https://www.alteryx.com/,"Alteryx (NYSE: AYX) serves the self-service data analytics movement with a platform that can discover, prep, and analyze data, then deploy and share analytics at scale for deeper insights. The company was founded in 2010 and is based in Irvine, California."
121,Altinity,altinity,,Infrastructure,Real Time Databases,United Kingdom,2017,$4M,https://altinity.com/,"Altinity is the commercial company behind the open-source ClickHouse data warehouse is an open-source SQL data warehouse to match the performance, maturity, and scalability of proprietary databases like Sybase IQ, Vertica, and Snowflake.
"
204,ALTR,altr,,Infrastructure,Data Governance & Catalog,United States,2014,$30M,https://www.altr.com/,"ALTR provides a data-security platform that unleashes the cybersecurity benefits of blockchain. Built on ALTRchain, a high-performance, enterprise-grade blockchain technology for ultra-secure data access and storage, the ALTR platform allows organizations to monitor, access and store critical information.
"
574,Amazon Alexa,amazon alexa,alexa,Machine Learning & Artificial Intelligence,Speech,,,,https://alexa.amazon.com/,"
"
436,Amazon Athena,amazon athena,athena,Analytics,Query Engine,United States,2006,,https://aws.amazon.com/athena/,"Amazon Web Services (AWS) is a business unit within Amazon.com that provides an infrastructure platform for businesses in the form of cloud computing.
"
101,Amazon Aurora,amazon aurora,aurora,Infrastructure,NewSQL Databases,United States,2006,,https://aws.amazon.com/rds/aurora/,"Amazon Web Services (AWS) is a business unit within Amazon.com that provides an infrastructure platform for businesses in the form of cloud computing.
"
450,Amazon CloudSearch,amazon cloudsearch,cloudsearch,Analytics,Enterprise Search,United States,2006,,https://aws.amazon.com/cloudsearch/,"Amazon Web Services (AWS) is a business unit within Amazon.com that provides an infrastructure platform for businesses in the form of cloud computing.
"
281,Amazon Cloudwatch,amazon cloudwatch,cloudwatch,Infrastructure,MGMT/Monitoring,United States,2006,,https://aws.amazon.com/cloudwatch/,"Amazon Web Services (AWS) is a business unit within Amazon.com that provides an infrastructure platform for businesses in the form of cloud computing.
"
590,Amazon Comprehend,amazon comprehend,comprehend,Machine Learning & Artificial Intelligence,NLP,United States,2006,,https://aws.amazon.com/comprehend/,"Amazon Web Services (AWS) is a business unit within Amazon.com that provides an infrastructure platform for businesses in the form of cloud computing.
"
94,Amazon DocumentDB,amazon documentdb,documentdb,Infrastructure,NoSQL Databases,United States,2006,,https://aws.amazon.com/documentdb/,"Amazon Web Services (AWS) is a business unit within Amazon.com that provides an infrastructure platform for businesses in the form of cloud computing.
"
90,Amazon DynamoDB,amazon dynamodb,dynamodb,Infrastructure,NoSQL Databases,United States,2006,,https://aws.amazon.com/dynamodb/,"Amazon Web Services (AWS) is a business unit within Amazon.com that provides an infrastructure platform for businesses in the form of cloud computing.
"
312,Amazon ECS,amazon ecs,ecs,Infrastructure,Compute,United States,2006,,https://aws.amazon.com/ecs/,"Amazon Web Services (AWS) is a business unit within Amazon.com that provides an infrastructure platform for businesses in the form of cloud computing.
"
306,Amazon EKS,amazon eks,eks,Infrastructure,Compute,United States,2006,,https://aws.amazon.com/eks/,"Amazon Web Services (AWS) is a business unit within Amazon.com that provides an infrastructure platform for businesses in the form of cloud computing.
"
33,Amazon EMR,amazon emr,emr,Infrastructure,Data Lakes/Lakehouses,United States,2006,,https://aws.amazon.com/emr/,"Amazon Web Services (AWS) is a business unit within Amazon.com that provides an infrastructure platform for businesses in the form of cloud computing.
"
453,Amazon Kendra,amazon kendra,kendra,Analytics,Enterprise Search,United States,2006,,https://aws.amazon.com/kendra/,"Amazon Web Services (AWS) is a business unit within Amazon.com that provides an infrastructure platform for businesses in the form of cloud computing.
"
61,Amazon Kinesis,amazon kinesis,kinesis,Infrastructure,Streaming/In-Memory,United States,2006,,https://aws.amazon.com/kinesis/,"Amazon Web Services (AWS) is a business unit within Amazon.com that provides an infrastructure platform for businesses in the form of cloud computing.
"
500,Amazon MechanicalTurk,amazon mechanicalturk,mechanicalturk,Machine Learning & Artificial Intelligence,Data Generation & Labelling,United States,,,https://www.mturk.com/,"Amazon Mechanical Turk (MTurk) is a crowdsourcing marketplace that makes it easier for individuals and businesses to outsource their processes and jobs to a distributed workforce who can perform these tasks virtually. The company is based in Seattle, Washington.
"
132,Amazon Neptune,amazon neptune,neptune,Infrastructure,Graph DBs,United States,2006,,https://aws.amazon.com/neptune/,"Amazon Web Services (AWS) is a business unit within Amazon.com that provides an infrastructure platform for businesses in the form of cloud computing.
"
569,Amazon Polly,amazon polly,polly,Machine Learning & Artificial Intelligence,Speech,United States,2006,,https://aws.amazon.com/polly/,"Amazon Web Services (AWS) is a business unit within Amazon.com that provides an infrastructure platform for businesses in the form of cloud computing.
"
322,Amazon QuickSight,amazon quicksight,quicksight,Analytics,BI Platforms,United States,2006,,https://aws.amazon.com/quicksight/,"Amazon Web Services (AWS) is a business unit within Amazon.com that provides an infrastructure platform for businesses in the form of cloud computing.
"
82,Amazon RDS,amazon rds,rds,Infrastructure,RDBMs,United States,2006,,https://aws.amazon.com/rds/,"Amazon Web Services (AWS) is a business unit within Amazon.com that provides an infrastructure platform for businesses in the form of cloud computing.
"
36,Amazon RedShift,amazon redshift,redshift,Infrastructure,Data Warehouses,United States,2006,,https://aws.amazon.com/redshift/,"Amazon Web Services (AWS) is a business unit within Amazon.com that provides an infrastructure platform for businesses in the form of cloud computing.
"
563,Amazon Rekognition,amazon rekognition,rekognition,Machine Learning & Artificial Intelligence,Computer Vision,,,,https://docs.aws.amazon.com/managedservices/latest/userguide/rekognition.html,"
"
8,Amazon S3,amazon s3,s3,Infrastructure,Storage,United States,2006,,https://aws.amazon.com/s3/,"Amazon Web Services (AWS) is a business unit within Amazon.com that provides an infrastructure platform for businesses in the form of cloud computing.
"
456,Amazon SageMaker,amazon sagemaker,sagemaker,Machine Learning & Artificial Intelligence,Data Science Notebooks,United States,2006,,https://aws.amazon.com/pm/sagemaker/,"Amazon Web Services (AWS) is a business unit within Amazon.com that provides an infrastructure platform for businesses in the form of cloud computing.
"
480,Amazon SageMaker,amazon sagemaker,sagemaker,Machine Learning & Artificial Intelligence,Enterprise ML Platforms,United States,2006,,https://aws.amazon.com/pm/sagemaker/,"Amazon Web Services (AWS) is a business unit within Amazon.com that provides an infrastructure platform for businesses in the form of cloud computing.
"
540,Amazon SageMaker,amazon sagemaker,sagemaker,Machine Learning & Artificial Intelligence,MLOps,United States,2006,,https://aws.amazon.com/sagemaker/,"Amazon Web Services (AWS) is a business unit within Amazon.com that provides an infrastructure platform for businesses in the form of cloud computing.
"
572,Amazon Transcribe,amazon transcribe,transcribe,Machine Learning & Artificial Intelligence,Speech,United States,2006,,https://aws.amazon.com/transcribe/,"Amazon Web Services (AWS) is a business unit within Amazon.com that provides an infrastructure platform for businesses in the form of cloud computing.
"
594,Amazon Translate,amazon translate,translate,Machine Learning & Artificial Intelligence,NLP,United States,2006,,https://aws.amazon.com/translate/,"Amazon Web Services (AWS) is a business unit within Amazon.com that provides an infrastructure platform for businesses in the form of cloud computing.
"
599,Amenity,amenity,,Machine Learning & Artificial Intelligence,NLP,United States,2015,$25.6M,https://www.amenityanalytics.com/,"Amenity Analytics develops cloud-based text analytics solutions using natural language processing (NLP) and machine learning. It automates the process of sifting through complex documents and narrative content to find and visualize data sets. The company enables businesses to create exact data models from complicated text sources without any coding. Amenity Analytics was founded in 2015 and is based in New York, New York. In November 2022, Amenity Analytics was acquired by Symphony. The terms of the transaction were not disclosed."
1079,AMP Robotics,amp robotics,,Applications - Industry,Industrial & Logistics,United States,2015,$168.79M,https://www.amprobotics.com/,"AMP Robotics applies AI and automation to increase recycling rates and economically recover recyclables reclaimed as raw materials for the global supply chain. Its AMP Cortex™ high-speed robotics system automates the identification and sorting of recyclables from mixed material streams. The AMP Neuron™ AI platform continuously trains itself by recognizing different colors, textures, shapes, sizes, patterns, and brand labels to identify materials and their recyclability. Neuron then guides robots to pick and place the material to be recycled. AMP Clarity™ provides data and material characterization on what recyclables are captured and missed, helping recycling businesses and producers maximize recovery. With deployments across North America, Asia, and Europe, AMP’s technology recovers recyc
"
398,Amperity,amperity,,Analytics,Customer Data Platforms,United States,2016,$217.3M,https://amperity.com/,"Amperity provides an Intelligent Customer Data Platform empowering global consumer brands to create personalized experiences by leveraging all their customer data.
"
409,Amplitude,amplitude,,Analytics,Product Analytics,United States,2012,$335.97M,https://amplitude.com/,"Amplitude (NASDAQ: AMPLT) provides mobile analytics that help companies leverage data to improve user growth. Amplitude provides Amplitude Analytics, a Built on Nova platform which gives companies access to user behavior analytics for mobile and web to pinpoint and act in order to reach better retention, engagement, and conversion results.
"
1143,Amundsen,amundsen,,Open Source Infrastructure,Data Access,,,,https://github.com/amundsen-io/amundsen,"Amundsen is a metadata driven application for improving the productivity of data analysts, data scientists and engineers when interacting with data.
"
470,anaconda,anaconda,,Machine Learning & Artificial Intelligence,Data Science Platforms,United States,2012,$55.85M,https://www.anaconda.com/,"Anaconda is a python data science platform and its flagship product, Anaconda Enterprise, allows organizations to secure, govern, scale, and extend Anaconda to deliver insights that drive businesses and industries forward.
"
